,label,position.x,position.y,position.z,dimensions.x,dimensions.y
0,Car,20.759,31.401,0.591,1.867,4.629
1,Car,-60.458,-37.423,0.934,2.104,4.215
2,Car,26.281,36.583,0.451,1.867,4.689
3,Car,-44.205,-44.985,0.986,2.049,4.409
4,Car,-72.901,100.37,0.519,1.825,4.441
5,Car,82.091,107.072,0.679,1.99,4.386
6,Car,-30.673,-7.523,0.759,1.849,4.723
7,Car,-10.899,-10.02,0.823,1.94,4.302
8,Car,-4.207,11.652,0.559,1.756,4.441
9,Pedestrian,8.725,37.331,0.781,0.824,1.259
10,Car,-6.854,26.46,0.589,2.102,4.628
11,Car,34.919,-11.359,0.811,1.924,4.164
12,Car,53.513,-37.821,2.825,1.841,4.408
13,Car,52.568,-28.182,1.89,1.841,4.408
14,Car,-8.704,23.317,0.6,1.937,4.143
15,Car,114.658,116.61,0.221,1.983,4.2
16,Car,-19.084,33.955,0.658,2.17,4.835
17,Car,-13.885,28.142,0.481,2.044,4.381
18,Car,126.755,152.526,0.295,2.039,4.503
19,Car,33.87,-3.783,0.441,1.841,4.408
20,Car,125.363,127.323,0.321,1.983,4.2
21,Car,164.026,166.822,0.201,1.983,4.2
22,Car,138.981,141.251,0.221,1.983,4.2
23,Car,-50.465,82.623,-0.031,1.825,4.441
24,Car,-13.929,9.403,0.572,1.849,4.464
25,Car,106.6,131.627,0.454,2.039,4.503
26,Car,-40.235,-33.103,1.113,1.94,4.302
27,Car,-77.71,-73.087,1.013,1.94,4.302
28,Car,182.401,197.639,0.493,2.077,4.48
29,Car,-24.022,38.877,0.506,2.048,4.609
30,Car,20.917,7.334,0.399,1.884,4.162
31,Car,77.27,102.08,0.679,2.119,4.52
32,Car,-20.031,-19.299,0.763,1.94,4.302
33,Car,114.778,140.501,0.295,2.039,4.503
34,Car,61.753,62.483,0.282,2.039,4.669
35,Car,55.958,56.33,0.24,2.007,4.879
36,Pedestrian,-5.044,21.79,0.569,0.77,0.933
37,Car,111.411,136.687,0.345,2.039,4.503
38,Car,-22.066,1.282,0.631,1.768,4.339
39,Car,69.3,69.879,0.188,1.794,4.207
40,Car,77.817,78.463,0.23,1.815,3.695
41,Car,-6.462,-0.976,0.699,1.893,4.097
42,Car,85.008,85.754,0.343,1.858,3.593
43,Car,134.621,159.967,0.295,2.039,4.503
44,Car,87.032,-81.564,5.381,1.841,4.408
45,Car,-50.044,78.21,0.519,1.825,4.441
46,Car,152.975,179.175,0.295,2.039,4.503
47,Car,148.22,183.219,0.672,2.402,4.634
48,Car,86.425,111.36,0.461,1.853,4.24
49,Car,-47.874,70.924,0.459,1.756,4.441
50,Car,-64.358,-41.703,0.999,1.961,4.215
51,Car,65.525,66.295,0.119,1.682,4.226
52,Car,176.901,194.008,0.543,2.077,4.48
53,Car,30.894,-5.2,0.543,2.03,4.951
54,Car,-16.115,-10.593,0.794,1.836,4.204
55,Car,-18.269,4.736,0.539,1.809,4.76
56,Car,156.172,159.028,0.201,1.983,4.2
57,Car,-72.529,95.417,-0.031,1.825,4.441
58,Car,-56.044,79.007,0.459,1.756,4.441
59,Car,188.862,200.348,0.243,2.077,4.48
60,Car,81.12,81.989,0.29,1.915,4.2
61,Car,3.947,-6.01,0.372,1.841,5.174
62,Car,-39.265,-16.085,0.804,1.961,4.215
63,Car,96.07,121.35,0.513,2.039,4.31
64,Car,101.254,126.228,0.454,2.039,4.503
65,Car,90.591,115.466,0.513,2.021,4.24
66,Car,-23.454,-35.891,0.974,1.881,4.18
67,Car,66.162,81.192,0.326,1.812,4.691
68,Car,137.081,143.355,0.477,2.411,4.905
69,Car,118.131,132.673,0.652,2.195,4.524
70,Car,89.299,104.019,0.376,1.777,4.436
